,Name,Rating,Number of Ratings,Longitude,Latitude,neighborhood,restaurant,meal_takeaway,meal_delivery,cafe,food,bakery,Weighted Rating
54,Al Romansiah,4.2,9460.0,46.792399,24.695811,حي الملز,1,0,0,0,1,0,39732.0
55,KFC,3.5,1825.0,46.76440969999999,24.7327532,حي الملز,1,0,0,0,1,0,6387.5
56,Herfy,3.6,872.0,46.750084,24.7795459,حي الملز,1,0,0,0,1,0,3139.2000000000003
57,Herfy,3.8,1081.0,46.7975115,24.7809607,حي الملز,1,0,0,0,1,0,4107.8
58,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,حي الملز,1,0,0,0,1,0,5069.0
59,KFC,3.4,1705.0,46.61225279999999,24.5724179,حي الملز,1,0,0,0,1,0,5797.0
60,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,حي الربوة,1,0,0,0,1,0,4943.2
61,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,حي الربوة,1,0,0,0,1,0,9642.5
62,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,حي الربوة,1,0,0,0,1,0,1692.0
63,Dining Hall,3.0,27.0,46.6196551,24.7209893,حي الربوة,1,0,0,0,1,0,81.0
64,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,حي الربوة,1,0,0,0,1,0,6884.0
65,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,حي الربوة,1,0,0,0,1,0,44109.0
66,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,حي الربوة,1,0,0,0,1,1,45365.0
67,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,حي الربوة,1,0,0,0,1,0,32178.399999999998
68,KFC,3.7,2198.0,46.737091,24.59506409999999,حي الربوة,1,0,0,0,1,0,8132.6
69,McDonald's,3.9,2735.0,46.69138399999999,24.570255,حي الربوة,1,0,0,0,1,0,10666.5
70,Domino's Pizza,3.8,589.0,46.6049938,24.692347,حي الربوة,1,1,1,0,1,0,2238.2
71,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,حي الربوة,1,0,0,0,1,0,101871.3
