,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
270,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,meal_delivery, restaurant, food, point_of_interest
271,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
272,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,790.0,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,meal_delivery, restaurant, food, point_of_interest
273,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,meal_delivery, restaurant, food, point_of_interest
274,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
275,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
276,KFC,3.6,1311.0,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
277,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
278,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
279,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, meal_delivery, meal_takeaway, food
280,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
281,Subway,3.7,452.0,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
282,Herfy,3.8,896.0,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
283,برجر كاسل,4.1,1057.0,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
284,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,"['restaurant', 'bar', 'food', 'night_club', 'point_of_interest', 'establishment']",حي الصفا,restaurant, bar, food, night_club
285,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
286,McDonald's,3.7,2042.0,46.640038,24.598766,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
287,Subway,3.8,341.0,46.65607869999999,24.608878,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
288,McDonald's,3.9,3568.0,46.794646,24.713222,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
289,KFC,3.8,1219.0,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
290,Herfy,3.5,746.0,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
291,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,lodging, restaurant, food, point_of_interest
292,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
293,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
294,Al Romansiah,4.2,9460.0,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
295,KFC,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
296,Herfy,3.6,872.0,46.750084,24.7795459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
297,Herfy,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصفا,restaurant, point_of_interest, food, establishment
298,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
299,KFC,3.4,1705.0,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصفا,restaurant, food, point_of_interest, establishment
300,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,lodging, restaurant, food, point_of_interest
301,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
302,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,spa, lodging, restaurant, food
303,Dining Hall,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
304,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
305,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
306,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,bakery, store, restaurant, food
307,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
308,KFC,3.7,2198.0,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
309,McDonald's,3.9,2735.0,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
310,Domino's Pizza,3.8,589.0,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,meal_delivery, meal_takeaway, restaurant, food
311,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
312,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
313,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
314,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, meal_delivery, meal_takeaway, food
315,Dominos,3.8,639.0,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,meal_delivery, meal_takeaway, restaurant, point_of_interest
316,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
317,Hardee's,3.3,827.0,46.6436339,24.6008518,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
318,KFC,3.5,975.0,46.6441676,24.6004069,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
319,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, meal_delivery, meal_takeaway, food
320,Mama Noura,4.1,11464.0,46.6653609,24.5717473,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
321,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
322,Herfy,3.8,1376.0,46.6983362,24.6940569,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
323,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
324,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
325,Al Nafoura Restaurant,3.3,1007.0,46.6251475,24.5884052,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
326,Herfy,3.7,380.0,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
327,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,"['grocery_or_supermarket', 'health', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",حي العليا,grocery_or_supermarket, health, restaurant, food
328,KFC,3.6,1452.0,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
329,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, meal_delivery, meal_takeaway, food
330,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,meal_delivery, restaurant, food, point_of_interest
331,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
332,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
333,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,790.0,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,meal_delivery, restaurant, food, point_of_interest
334,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,meal_delivery, restaurant, food, point_of_interest
335,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
336,KFC,3.6,1311.0,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
337,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
338,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, meal_delivery, meal_takeaway, food
339,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
340,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
341,Herfy,3.8,896.0,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
342,Subway,3.7,452.0,46.7834343,24.7289012,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
343,برجر كاسل,4.1,1057.0,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
344,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, bar, night_club, point_of_interest
345,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
346,McDonald's,3.7,2042.0,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
347,Subway,3.8,341.0,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
348,McDonald's,3.9,3568.0,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
349,Herfy,3.5,746.0,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
350,KFC,3.8,1219.0,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
351,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,lodging, restaurant, food, point_of_interest
352,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
353,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
354,Al Romansiah,4.2,9460.0,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
355,Herfy,3.6,872.0,46.750084,24.7795459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
356,KFC,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا,restaurant, point_of_interest, food, establishment
357,Herfy,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
358,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
359,KFC,3.4,1705.0,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا,restaurant, food, point_of_interest, establishment
360,مطعم نيوم,3.3,143.0,44.78612469999999,23.7759254,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
361,بوفية الرفقة,3.2,18.0,44.7895881,23.777253,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
362,بوفية خفايف,3.2,33.0,44.7906072,23.7775033,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
363,بوفية السلاطين,3.0,2.0,44.7934042,23.7756079,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
364,مطعم سما دبي,4.1,29.0,44.7936741,23.77585850000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
365,Swat restaurant,,0.0,44.7709565,23.7713478,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
366,مطعم كشمير البخاري,3.6,219.0,44.7641041,23.7631921,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
367,ركن الكنافة,4.1,41.0,44.7624435,23.7626758,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
368,بوفيه خبزه وحمسات,4.4,5.0,44.76429819999999,23.76112909999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
369,بوفية اسماء العتيبي,5.0,1.0,44.762651,23.76212300000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
370,شكوكلاته الذائبة,4.6,13.0,44.7617595,23.7627612,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
371,بوفية الاريج,5.0,2.0,44.7625571,23.762104,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
372,بوفية فول فلافل لتقديم الوجبات,3.7,45.0,44.7623999,23.7620677,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
373,Kerala hotel,3.9,8.0,44.7642932,23.7600403,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
374,حلاالطازج للعصائر,3.5,2.0,44.7617196,23.7617327,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
375,سربستوني,4.7,47.0,44.76253510000001,23.7610696,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
376,بوفية الحياة,,0.0,44.7641185,23.7597439,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
377,بوفية الشباب,3.0,17.0,44.76226339999999,23.7610069,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
378,مطعم بنغالي,,0.0,44.7626044,23.75998079999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
379,فوال و مطبق نورة,5.0,3.0,44.7620616,23.759976,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
380,معصوب الراقي,4.7,6.0,44.7628417,23.75937829999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
381,مطعم معصوب ملكي,5.0,1.0,44.7628344,23.7593272,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
382,بوفية نجد الجزيرة لتقديم الوجبات,,0.0,44.7627026,23.7593094,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
383,بوفية البكري,3.7,3.0,44.7627023,23.7593094,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
384,بوفية كبده طازج,3.8,24.0,44.7621866,23.75964789999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
385,مذاق الدجاج للوجبات السريعة,3.7,226.0,44.7614997,23.7599655,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
386,مطاعم ومطابخ المذاق المثلوثه,3.7,330.0,44.7624046,23.7592293,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
387,مطعم الحديقة,3.3,186.0,44.7603125,23.7608125,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
388,مطعم فلافل العرض,4.0,2.0,44.7613134,23.7600066,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
389,Burger Roma,3.5,168.0,44.7621495,23.7591719,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
390,Bait ul bokhari,3.7,7.0,44.76190800000001,23.7591385,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
391,فوال,,0.0,44.75580970000001,23.764266,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
392,محل لذيذ للايسكريم,4.4,13.0,44.7591594,23.7608173,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
393,مطاعم قلعة الفرسان لتقديم الوجبات,3.6,96.0,44.7002085,23.74173039999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
394,بوفيه السلاطين,4.0,1.0,44.70037479999999,23.740488,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
395,مطعم الهاجري,3.3,105.0,44.88456040000001,23.7979441,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
396,Pakistani Restaurant مطعم باكستاني,5.0,1.0,44.6888711,23.7332642,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
397,Pakistan Swat Restaurant,2.4,25.0,44.89412889999999,23.7994914,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
398,مطعم بخاري,2.9,14.0,44.8941168,23.7996792,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
399,بوفيه زنجر,4.9,7.0,44.8943793,23.799645,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
400,مركز طحي,,0.0,44.6771425,23.7117484,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
401,بوفيه السلاطين,5.0,1.0,44.6771425,23.7117484,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
402,بوفية شعبيات العسلي,5.0,1.0,44.6704319,23.7185517,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
403,Pakistani Hotel,4.1,49.0,44.6546327,23.7216409,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
404,مطعم فامبا,4.1,15.0,44.651542,23.7229757,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
405,محطة العمودي,5.0,1.0,44.651561,23.7224327,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
406,مطبخ سنام الحديث,5.0,3.0,44.74805189999999,23.6502364,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
407,بوفيه توت وعنب,4.3,6.0,44.6219155,23.7106265,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
408,مطعم البراك,4.1,879.0,44.62115070000001,23.7107232,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
409,Mazaq Pakistani Hotel,5.0,1.0,44.5919455,23.6992381,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
410,مطعم البخاري الباكستاني,3.4,1155.0,44.9928682,23.8496622,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
411,مخيم افطارصايم جمعيه عروي الخيريه,5.0,1.0,44.6106791,23.9160373,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
412,Pakistani hotel,4.3,102.0,44.9946782,23.8480557,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
413,Camp Messhall,3.8,5.0,45.0609901,23.7838261,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
414,Restaurant and Buffet Arabism,4.5,16.0,44.9519218,23.9884014,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
415,مطعم السحاب,1.8,5.0,44.9504613,23.9900549,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
416,مسلخ ومطبخ بصير,,0.0,44.94989,23.9908752,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
417,مقرمشات فيصل دعكيك,3.0,4.0,45.0791527,23.885914,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية,restaurant, point_of_interest, food, establishment
418,Peshawari hotel,4.0,1.0,45.079162,23.885942,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
419,مكه المكرمه,,0.0,45.079162,23.885942,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية,restaurant, food, point_of_interest, establishment
480,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي المرسلات,lodging, restaurant, point_of_interest, food
481,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات,restaurant, food, point_of_interest, establishment
482,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات,spa, lodging, restaurant, food
483,Dining Hall,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات,restaurant, food, point_of_interest, establishment
484,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات,restaurant, food, point_of_interest, establishment
485,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي المرسلات,restaurant, point_of_interest, food, establishment
486,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات,bakery, store, restaurant, food
487,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات,restaurant, food, point_of_interest, establishment
