,Name,Score,Category,Price_Range
2040,21. Al Hatab Bakery,9.2,Bakery,$$
2041,22. Signor Sassi,9.2,Italian,$$
2042,23. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$
2043,24. Armin,9.2,Eastern European,$$
2044,25. AlKadesiya Bakery,9.2,Bakery,$
2045,26. Armin,9.2,Mediterranean,$
2046,27. BLANCA,9.2,Pizza,$
2047,28. محامص ومطاحن السوادي,9.2,Snacks,$
2048,1. Knoll Coffee Roasters,9.6,Café,$
2049,2. Red Box,9.5,Restaurant,$
2050,3. Dunkin’ Donuts Drive Thru,9.4,Donuts,$
2051,4. The California Burger,9.4,Burgers,$
2052,5. ساين,9.4,Burgers,$
2053,6. Oregano Pizzeria,9.4,Pizza,$
2054,7. AlNaqaa,9.4,Breakfast,$
2055,8. محمصة اليوم الثامن,9.4,Café,$
2056,9. شاي وسمسم,9.4,Café,$$$$
2057,10. Myazū,9.3,Japanese,$
2058,11. WHJ CAFE,9.3,Café,$
2059,12. Al Afrah Restaurant,9.3,Breakfast,$
