,Name,Score,Category,Price_Range
1620,7. Dunkin' Donuts,9.0,Donuts,$
1621,8. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$
1622,9. McDonald’s,9.0,Fast Food,$
1623,10. Al Hatab Bakery,9.0,Bakery,$
1624,11. Dunkin' Donuts,9.0,Donuts,$
1625,1. OREGANO PIZZERIA,9.3,Pizza,$
1626,2. Mama Noura,9.3,Shawarma Restaurant,$$
1627,3. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$
1628,4. Al Hatab Bakery,9.1,Bakery,$$
1629,5. La Casa Pasta,9.1,Italian,$$
1630,6. HATABA,9.0,BBQ,$
1631,7. Dunkin' Donuts,9.0,Donuts,$
1632,8. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$
1633,9. McDonald’s,9.0,Fast Food,$
1634,10. Al Hatab Bakery,9.0,Bakery,$
1635,11. Dunkin' Donuts,9.0,Donuts,$
1636,1. OREGANO PIZZERIA,9.3,Pizza,$
1637,2. Mama Noura,9.3,Shawarma Restaurant,$$
1638,3. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$
1639,4. Al Hatab Bakery,9.1,Bakery,$$
1640,5. La Casa Pasta,9.1,Italian,$$
1641,6. HATABA,9.0,BBQ,$
1642,7. Dunkin' Donuts,9.0,Donuts,$
1643,8. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$
1644,9. McDonald’s,9.0,Fast Food,$
1645,10. Al Hatab Bakery,9.0,Bakery,$
1646,11. Dunkin' Donuts,9.0,Donuts,$
1647,1. OREGANO PIZZERIA,9.3,Pizza,$
1648,2. Mama Noura,9.3,Shawarma Restaurant,$$
1649,3. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$
1650,4. Al Hatab Bakery,9.1,Bakery,$$
1651,5. La Casa Pasta,9.1,Italian,$$
1652,6. HATABA,9.0,BBQ,$
1653,7. Dunkin' Donuts,9.0,Donuts,$
1654,8. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$
1655,9. McDonald’s,9.0,Fast Food,$
1656,10. Al Hatab Bakery,9.0,Bakery,$
1657,11. Dunkin' Donuts,9.0,Donuts,$
1658,1. OREGANO PIZZERIA,9.3,Pizza,$
1659,2. Mama Noura,9.3,Shawarma Restaurant,$$
1660,3. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$
1661,4. Al Hatab Bakery,9.1,Bakery,$$
1662,5. La Casa Pasta,9.1,Italian,$$
1663,6. HATABA,9.0,BBQ,$
1664,7. Dunkin' Donuts,9.0,Donuts,$
1665,8. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$
1666,9. McDonald’s,9.0,Fast Food,$
1667,10. Al Hatab Bakery,9.0,Bakery,$
