,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
806,12. Dunkin' Donuts,9.0,Donuts,$,0,9
807,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
808,14. Shawarma House,9.0,Middle Eastern,$,0,22
809,15. فلافل ثمار,9.0,Falafel,$,0,11
810,1. WHJ CAFE,9.3,Café,$,0,8
811,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
812,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
813,4. AlNaqaa,9.1,Falafel,$,0,11
814,5. Dutch Brunch,9.1,Breakfast,$,0,5
815,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
816,7. Dunkin' Donuts,9.1,Donuts,$,0,9
817,8. Jathel,9.1,Café,$,0,8
818,9. Dunkin Dounts,9.0,Donuts,$,0,9
819,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
820,11. دوز كافيه,9.0,Café,$,0,8
821,12. Dunkin' Donuts,9.0,Donuts,$,0,9
822,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
823,14. Shawarma House,9.0,Middle Eastern,$,0,22
824,15. فلافل ثمار,9.0,Falafel,$,0,11
825,1. WHJ CAFE,9.3,Café,$,0,8
826,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
827,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
828,4. AlNaqaa,9.1,Falafel,$,0,11
829,5. Dutch Brunch,9.1,Breakfast,$,0,5
830,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
831,7. Dunkin' Donuts,9.1,Donuts,$,0,9
832,8. Jathel,9.1,Café,$,0,8
833,9. Dunkin Dounts,9.0,Donuts,$,0,9
834,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
835,11. دوز كافيه,9.0,Café,$,0,8
836,12. Dunkin' Donuts,9.0,Donuts,$,0,9
837,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
