,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
450,16. PrimeCut,9.1,Burgers,$,0,7
451,17. CLAY,9.1,Café,$,0,8
452,18. HATABA,9.0,BBQ,$,0,3
453,19. Dunkin' Donuts,9.0,Donuts,$,0,9
454,20. بَاكر,9.0,Sandwich Spot,$$,1,27
455,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
456,22. Eggsactly,9.0,Breakfast,$,0,5
457,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
458,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
459,25. Al Hatab Bakery,9.0,Bakery,$,0,4
460,1. Easy Bakery,9.5,Bakery,$,0,4
461,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
462,3. Biox,9.4,Bakery,$,0,4
463,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
464,5. Ghemar Cafe,9.3,Bakery,$,0,4
465,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
466,7. FISHFACE,9.3,Poke Restaurant,$,0,24
467,8. Hels,9.3,Restaurant,$,0,25
468,9. Urth Caffé,9.2,Café,$,0,8
469,10. Shwkat,9.2,Sandwich Spot,$$,1,27
470,11. BLANCA,9.2,Pizza,$,0,23
471,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
472,13. Never Enough,9.2,Bakery,$,0,4
473,14. ALBAIK,9.2,Fried Chicken,$,0,16
474,15. Offwhite Inn,9.2,Restaurant,$$,1,25
475,16. PrimeCut,9.1,Burgers,$,0,7
476,17. CLAY,9.1,Café,$,0,8
477,18. HATABA,9.0,BBQ,$,0,3
478,19. Dunkin' Donuts,9.0,Donuts,$,0,9
479,20. بَاكر,9.0,Sandwich Spot,$$,1,27
480,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
481,22. Eggsactly,9.0,Breakfast,$,0,5
482,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
483,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
484,25. Al Hatab Bakery,9.0,Bakery,$,0,4
485,1. Easy Bakery,9.5,Bakery,$,0,4
486,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
