,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
295,27. Wasl Cafe,9.3,Café,$,0,5
296,1. Dunkin’,9.6,Donuts,$,0,6
297,2. Plenty Sld’s,9.6,Salad,$,0,17
298,3. Shml,9.5,Café,$,0,5
299,4. Dunkin,9.5,Donuts,$,0,6
300,5. شاهي ابو وليد,9.5,Café,$,0,5
301,6. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,16
302,7. Easy Bakery,9.5,Bakery,$,0,2
303,8. The Sift,9.5,Bakery,$,0,2
304,9. Plenty Sld’s,9.5,Salad,$,0,17
305,10. Fabrica De Cafe,9.4,Café,$,0,5
306,11. BAC Bakehouse & Coffee,9.4,Bakery,$,0,2
307,12. Biox,9.4,Bakery,$,0,2
308,13. Unsörso Cafè,9.4,Café,$,0,5
309,14. Fabrica De Cafe,9.4,Café,$,0,5
310,15. دوّار السّعادة,9.4,Breakfast,$,0,3
311,16. McDonald's,9.4,Fast Food,$,0,8
312,17. FISHFACE,9.4,Poke Restaurant,$,0,15
313,18. Half Million,9.4,Café,$,0,5
314,19. The60Pasta,9.4,Food Truck,$,0,9
315,20. فوال الافراح,9.4,Breakfast,$$$,2,3
316,21. Dopeamine,9.4,Bakery,$,0,2
317,22. أسماك دلة,9.4,Seafood,$$,1,18
318,23. Graph,9.3,Café,$,0,5
319,24. SHiRO,9.3,Japanese,$,0,12
320,25. Ghemar Cafe,9.3,Bakery,$$$,2,2
321,26. Lavash,9.3,Armenian,$$,1,0
322,27. Wasl Cafe,9.3,Café,$,0,5
323,1. Dunkin’,9.6,Donuts,$,0,6
324,2. Plenty Sld’s,9.6,Salad,$,0,17
325,3. Shml,9.5,Café,$,0,5
326,4. Dunkin,9.5,Donuts,$,0,6
327,5. شاهي ابو وليد,9.5,Café,$,0,5
328,6. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,16
329,7. Easy Bakery,9.5,Bakery,$,0,2
330,8. The Sift,9.5,Bakery,$,0,2
331,9. Plenty Sld’s,9.5,Salad,$,0,17
332,10. Fabrica De Cafe,9.4,Café,$,0,5
333,11. BAC Bakehouse & Coffee,9.4,Bakery,$,0,2
334,12. Biox,9.4,Bakery,$,0,2
335,13. Unsörso Cafè,9.4,Café,$,0,5
336,14. Fabrica De Cafe,9.4,Café,$,0,5
337,15. دوّار السّعادة,9.4,Breakfast,$,0,3
338,16. McDonald's,9.4,Fast Food,$,0,8
339,17. FISHFACE,9.4,Poke Restaurant,$,0,15
340,18. Half Million,9.4,Café,$,0,5
341,19. The60Pasta,9.4,Food Truck,$,0,9
342,20. فوال الافراح,9.4,Breakfast,$$$,2,3
343,21. Dopeamine,9.4,Bakery,$,0,2
344,22. أسماك دلة,9.4,Seafood,$$,1,18
345,23. Graph,9.3,Café,$,0,5
346,24. SHiRO,9.3,Japanese,$,0,12
347,25. Ghemar Cafe,9.3,Bakery,$$$,2,2
348,26. Lavash,9.3,Armenian,$$,1,0
349,27. Wasl Cafe,9.3,Café,$,0,5
350,1. Knoll Coffee Roasters,9.6,Café,$,0,5
351,2. ساين,9.6,Burgers,$,0,4
352,3. Al Hatab Bakery,9.5,Bakery,$,0,2
353,4. Red Box,9.5,Restaurant,$,0,16
354,5. WHJ CAFE,9.3,Café,$,0,5
355,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
356,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
357,8. DIA BAKERY,9.3,Bakery,$,0,2
358,9. Urth Caffé,9.2,Café,$,0,5
359,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
360,11. BLANCA,9.2,Pizza,$,0,14
361,12. Armin,9.2,Eastern European,$,0,7
362,13. Dunkin' Donuts,9.2,Donuts,$,0,6
