,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
673,16. مضغوط تهامة,9.0,Fried Chicken,$$,1,10
674,1. Coffee Maliha,9.4,Café,$,0,5
675,2. ساين,9.4,Burgers,$,0,4
676,3. محمصة اليوم الثامن,9.4,Café,$,0,5
677,4. Less Is More,9.3,Café,$,0,5
678,5. Saheel Cafe,9.2,Café,$,0,5
679,6. Al Hatab Bakery,9.2,Bakery,$,0,2
680,7. TUL CAFE,9.2,Café,$,0,5
681,8. خُوصَة,9.2,Café,$,0,5
682,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
683,10. البيك,9.2,Fried Chicken,$,0,10
684,11. Deers Cafe,9.2,Café,$,0,5
685,12. المذاق المغربي,9.1,Café,$,0,5
686,13. مطعم خندلة,9.1,Turkish,$$,1,22
687,14. Maqloba,9.0,Restaurant,$,0,16
688,15. Albaik,9.0,Fried Chicken,$,0,10
689,16. مضغوط تهامة,9.0,Fried Chicken,$$,1,10
690,1. Coffee Maliha,9.4,Café,$,0,5
691,2. ساين,9.4,Burgers,$,0,4
692,3. محمصة اليوم الثامن,9.4,Café,$,0,5
693,4. Less Is More,9.3,Café,$,0,5
694,5. Saheel Cafe,9.2,Café,$,0,5
695,6. Al Hatab Bakery,9.2,Bakery,$,0,2
696,7. TUL CAFE,9.2,Café,$,0,5
697,8. خُوصَة,9.2,Café,$,0,5
698,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
699,10. البيك,9.2,Fried Chicken,$,0,10
700,11. Deers Cafe,9.2,Café,$,0,5
701,12. المذاق المغربي,9.1,Café,$,0,5
702,13. مطعم خندلة,9.1,Turkish,$$,1,22
703,14. Maqloba,9.0,Restaurant,$,0,16
704,15. Albaik,9.0,Fried Chicken,$,0,10
705,16. مضغوط تهامة,9.0,Fried Chicken,$$,1,10
706,1. Coffee Maliha,9.4,Café,$,0,5
707,2. ساين,9.4,Burgers,$,0,4
708,3. محمصة اليوم الثامن,9.4,Café,$,0,5
709,4. Less Is More,9.3,Café,$,0,5
710,5. Saheel Cafe,9.2,Café,$,0,5
