,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
42,مطعم حصن الجنوب البخاري,055 064 0029,4.0,4.0,46.20039479999999,25.1045107,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
43,بخاري,,4.0,4.0,45.97441729999999,25.131417,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
44,مطعم ندى مطلق العتيبي,,2.0,5.0,46.2600159,25.088634,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
45,بوفية زهراء,,,,46.2616422,25.0932254,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
46,مطعم ديرة الغذاء,059 113 8936,4.6,12.0,46.2610057,25.088148,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
47,الشيخ محمد الحاتم ابوعادل,,5.0,11.0,46.2371789,24.9960839,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
48,585C+9R7 Malham,,,,46.32217849999999,25.1584323,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
49,فوال ايام زمان,054 391 4763,4.1,86.0,46.3303006,25.1658531,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
50,للوجبات السريعة فرع ملهم,055 959 2156,4.7,15.0,46.3288343,25.1765166,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
51,Ghadash Restaurant,055 015 0901,4.4,128.0,46.3288343,25.1765166,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
52,Bangladesh restaurant বাংলাদেশ হোটেলে,,5.0,1.0,46.3336857,25.1625308,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
53,لقيمات مذهلة,,5.0,1.0,46.3336857,25.1625308,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
54,‏ساكن ملهم ‏ ‏سعودية,,,,46.3336857,25.1625308,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
55,مطعم هيفان,058 295 3090,3.8,84.0,46.3308005,25.1730757,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
56,Restaurant kofta Shawarma Grill and Broasted pizza and inspiring Fatayer,055 321 6467,3.5,150.0,46.33249309999999,25.1681696,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
57,بوفية سماء المذاق الراقي,055 936 1943,4.7,13.0,46.33271420000001,25.1679463,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
58,FOODILS MALHAM,058 397 5558,3.7,293.0,46.332736,25.1678918,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النهضة
59,فلافل نون,054 167 9246,3.1,16.0,46.33275709999999,25.16794449999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النهضة
60,فندق ميرا,9200 08155,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
61,Luthan Hotel and Spa,011 480 7799,4.0,423.0,46.6417087,24.7066487,"['lodging', 'spa', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
62,Dining Hall,011 467 5591,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
63,Domino's Pizza,9200 12345,3.8,589.0,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
64,McDonald's,800 121 2345,3.9,2735.0,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
65,Derati Restaurant,011 202 0203,3.7,1331.0,46.58854249999999,24.6368753,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
66,Najd Village,9200 33511,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
67,Hardee's,9200 01213,3.3,827.0,46.6436339,24.6008518,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
68,KFC,9200 21111,3.5,975.0,46.6441676,24.6004069,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
69,Derati Restaurants & Kitchens,9200 08273,3.8,994.0,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
