,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
40,Al Romansiah,9200 00144,4.2,9584.0,46.7069578,24.5620929,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا
41,Herfy,9200 01111,3.8,896.0,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
42,Subway,,3.7,452.0,46.7834343,24.7289012,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا
43,برجر كاسل,011 281 8775,4.1,1057.0,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
44,وايت قاردن,011 462 7799,4.2,4534.0,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'point_of_interest', 'food', 'establishment']",حي العليا
45,Al Tazaj,9200 00765,3.6,4796.0,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
46,McDonald's,800 121 2345,3.7,2042.0,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
47,Subway,,3.8,341.0,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
48,McDonald's,800 121 2345,3.9,3568.0,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
49,Herfy,9200 01111,3.5,746.0,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
50,KFC,9200 21111,3.8,1219.0,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
51,Fairmont Riyadh,011 826 2626,4.7,5105.0,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
52,Burger King - Exit 8 Dammam Rd,,3.7,1210.0,46.743149,24.800591,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
